numero_compte,code_client,type_compte,produit_bancaire,statut_compte,date_ouverture,devise,solde_initial
237-01-786494535,CUST-0004229,Courant,Compte salaire,Actif,2018/10/01,XAF,946634
237-01-918508730,CUST-0003728,Épargne,Épargne jeune,Actif,2018-09-18,XAF,1759626
237-01-247280160,CUST-0002805,Professionnel,Compte professionnel,Actif,13/02/2024,FCFA,1610028
237-01-944543991,CUST-0005750,Courant,Compte salaire,Actif,2017-03-20,XAF,4264379
237-01-157672407,CUST-0005045,Courant,Compte salaire,Actif,2020-06-26,XAF,2948706
237-01-166829157,CUST-0000378,Courant,Compte salaire,Actif,2018-10-26,FCFA,2129692
237-01-814390404,CUST-0003203,Courant,Compte courant,Clôturé,2025-07-31,FCFA,2722236
237-01-330004083,CUST-0005176,Épargne,Épargne projet,Actif,2020-04-27,FCFA,3258977
237-01-468383084,CUST-0003441,Courant,Compte courant,Dormant,2026-04-10,XAF,3245680
237-01-375145144,CUST-0000253,Commerçant,Compte commerçant,Actif,12/10/2023,FCFA,3447336
237-01-666017091,CUST-0002371,Courant,Compte courant,Dormant,2023/08/13,FCFA,3652000
237-01-691402326,CUST-0001398,Courant,Compte salaire,Actif,2018-09-19,FCFA,3629083
237-01-560647392,CUST-0002269,Épargne,Épargne jeune,Actif,2020-07-15,XAF,478435
237-01-850438778,CUST-0003901,Commerçant,Compte commerçant,Actif,2025-04-16,XAF,2277846
237-01-682722262,CUST-0001730,Tontine,Compte tontine,Actif,2021-01-05,FCFA,1615189
237-01-616285986,CUST-0004742,Courant,Compte courant,Actif,2017/03/10,FCFA,1507609
237-01-444527156,CUST-0001080,Commerçant,Compte commerçant,Clôturé,2017-08-08,XAF,110157
237-01-270859076,CUST-0002619,Tontine,Compte tontine,Actif,2025-01-02,XAF,184823
237-01-601084592,CUST-0000909,Association,Compte association,Bloqué,2018-11-07,FCFA,1538271
237-01-921822964,CUST-0003902,Professionnel,Crédit commercial,Actif,2024-06-24,FCFA,1782905
237-01-578000194,CUST-0002686,Épargne,Épargne projet,Actif,2021-12-05,XAF,4634856
237-01-685798516,CUST-0004180,Courant,Compte salaire,Actif,2019-10-04,XAF,3823252
237-01-353821992,CUST-0005055,Tontine,Compte tontine,Actif,2025-06-20,FCFA,4067262
237-01-278817891,CUST-0003732,Professionnel,Crédit scolaire,Actif,2026-04-07,FCFA,4804366
237-01-230826769,CUST-0000286,Courant,Compte salaire,Actif,2021-05-02,FCFA,699136
237-01-902751609,CUST-0002356,Épargne,Épargne projet,Actif,2026-04-25,FCFA,1070394
237-01-391153850,CUST-0005741,Tontine,Compte tontine,Actif,2026-01-19,FCFA,3097272
237-01-393615527,CUST-0005011,Professionnel,Compte professionnel,Actif,2017/10/08,FCFA,231645
237-01-959811151,CUST-0003227,Professionnel,Crédit scolaire,Actif,2019-06-22,FCFA,3342863
237-01-195886706,CUST-0000441,Épargne,Épargne classique,Actif,2020-11-25,XAF,316322
237-01-377986442,CUST-0003913,Épargne,Épargne classique,Actif,2023-12-06,XAF,3046982
237-01-794303779,CUST-0006126,Professionnel,Crédit commercial,Actif,2025-04-04,XAF,4015516
237-01-433324123,CUST-0000476,Courant,Compte courant,Actif,2023-03-13,XAF,872083
237-01-800026706,CUST-0005585,Épargne,Épargne projet,Actif,2021/06/05,XAF,1147166
237-01-292334298,CUST-0005825,Tontine,Compte tontine,Clôturé,03/11/2018,XAF,3720306
237-01-410019878,CUST-0004631,Courant,Compte salaire,Actif,2017-05-10,FCFA,3180957
237-01-783270710,CUST-0004589,Commerçant,Compte commerçant,Clôturé,2019/09/01,XAF,2291180
237-01-726238965,CUST-0004383,Commerçant,Compte commerçant,Actif,2025-05-24,FCFA,3425650
237-01-195183339,CUST-0006133,Épargne,Épargne projet,Actif,2023-06-06,XAF,1914636
237-01-890608948,CUST-0004060,Commerçant,Compte commerçant,Actif,2017-06-27,FCFA,2566770
237-01-296183898,CUST-0004054,Épargne,Épargne jeune,Actif,2026-02-03,FCFA,4767680
237-01-326030306,CUST-0000053,Épargne,Épargne jeune,Actif,2020-12-26,XAF,3903417
237-01-801407859,CUST-0002502,Commerçant,Compte commerçant,Actif,2018-08-18,FCFA,2623982
237-01-392961652,CUST-0006021,Professionnel,Compte professionnel,Actif,2026/02/16,XAF,1120747
237-01-932906273,CUST-0004320,Tontine,Compte tontine,Actif,2021-02-05,FCFA,4457998
237-01-392989206,CUST-0000383,Courant,Compte salaire,Actif,2018-12-18,XAF,2794023
237-01-791736705,CUST-0002841,Association,Compte association,Actif,2021-08-30,XAF,3009421
237-01-182317858,CUST-0002864,Professionnel,Crédit commercial,Actif,2018-01-17,FCFA,1882530
237-01-694346595,CUST-0001597,Épargne,Épargne projet,Actif,15/06/2019,XAF,180840
237-01-137901573,CUST-0005828,Professionnel,Crédit scolaire,Actif,2019-04-26,XAF,626864
237-01-291949230,CUST-0003700,Professionnel,Crédit commercial,Actif,2026-01-31,XAF,2442838
237-01-871185761,CUST-0005134,Épargne,Épargne projet,Actif,2019-08-24,FCFA,2750978
237-01-994249186,CUST-0000456,Épargne,Épargne classique,Actif,2021-11-05,XAF,2159045
237-01-344068848,CUST-0002095,Épargne,Épargne classique,Actif,2025-10-28,XAF,1771946
237-01-447965446,CUST-0004193,Tontine,Compte tontine,Actif,2018/11/23,FCFA,2084156
237-01-451518428,CUST-0003437,Courant,Compte courant,Actif,2023/11/07,FCFA,1978669
237-01-474126776,CUST-0003984,Épargne,Épargne projet,Actif,28/11/2020,XAF,314596
237-01-707869296,CUST-0002188,Tontine,Compte tontine,Actif,2022-10-27,XAF,3298423
237-01-303988286,CUST-0002818,Épargne,Épargne classique,Actif,2017-04-14,XAF,1783487
237-01-175257052,CUST-0001347,Association,Compte association,Actif,2019-11-18,XAF,978291
237-01-998176896,CUST-0004430,Épargne,Épargne jeune,Actif,2019-06-26,XAF,38748
237-01-986154279,CUST-0001562,Épargne,Épargne projet,Actif,27/02/2020,FCFA,1069301
237-01-588886761,CUST-0002588,Professionnel,Crédit scolaire,Actif,11/10/2023,XAF,3544056
237-01-209274732,CUST-0005596,Commerçant,Compte commerçant,Actif,2017-05-19,FCFA,949070
237-01-294941481,CUST-0000235,Épargne,Épargne classique,Actif,2023/09/28,FCFA,3943912
237-01-352230252,CUST-0000960,Épargne,Épargne projet,Bloqué,30/08/2024,XAF,2889454
237-01-648836537,CUST-0002547,Professionnel,Compte professionnel,Actif,2019-10-02,XAF,305828
237-01-202269785,CUST-0005554,Commerçant,Compte commerçant,Actif,2017-04-17,XAF,2821138
237-01-727349667,CUST-0004742,Professionnel,Crédit scolaire,Actif,2018-06-28,XAF,4284574
237-01-563303925,CUST-0001415,Courant,Compte courant,Actif,2018-07-07,FCFA,3813273
237-01-502557273,CUST-0006018,Commerçant,Compte commerçant,Actif,2023-09-13,FCFA,1488834
237-01-749883442,CUST-0001159,Professionnel,Crédit scolaire,Actif,2019-08-20,XAF,638601
237-01-826436305,CUST-0005281,Courant,Compte courant,Actif,2023-09-30,FCFA,1109252
237-01-390480508,CUST-0004327,Tontine,Compte tontine,Actif,2022-05-07,FCFA,4695376
237-01-719040618,CUST-0003543,Courant,Compte salaire,Bloqué,2022-07-27,FCFA,2383291
237-01-490123924,CUST-0002979,Courant,Compte courant,Actif,2023/02/03,XAF,4797188
237-01-848175799,CUST-0001437,Association,Compte association,Actif,2020-10-30,FCFA,156829
237-01-741385631,CUST-0005091,Association,Compte association,Actif,2025-06-23,XAF,4191377
237-01-246895923,CUST-0003781,Professionnel,Crédit commercial,Actif,2018-09-20,FCFA,4839781
237-01-476188213,CUST-0000280,Épargne,Épargne jeune,Actif,2024/09/25,XAF,2030430
237-01-211575139,CUST-0005472,Courant,Compte salaire,Actif,2020-01-03,FCFA,457582
237-01-502438249,CUST-0003637,Épargne,Épargne classique,Actif,2024-05-04,XAF,1103545
237-01-614194151,CUST-0004870,Tontine,Compte tontine,Actif,2020-05-09,XAF,2628620
237-01-626546225,CUST-0002726,Épargne,Épargne projet,Actif,2020-10-10,FCFA,3996353
237-01-482044416,CUST-0004368,Tontine,Compte tontine,Actif,2023-11-21,XAF,4271402
237-01-693201369,CUST-0002526,Épargne,Épargne jeune,Actif,2023-10-04,FCFA,629330
237-01-395066034,CUST-0002291,Association,Compte association,Actif,2019-05-27,FCFA,1787656
237-01-337369091,CUST-0003195,Association,Compte association,Actif,2017-06-28,XAF,146712
237-01-807776936,CUST-0003623,Association,Compte association,Actif,2018-05-11,XAF,2729292
237-01-760460579,CUST-0000523,Courant,Compte courant,Actif,2023-01-18,FCFA,1858506
237-01-962153418,CUST-0001785,Courant,Compte salaire,Actif,2022-07-01,XAF,1281722
237-01-713501974,CUST-0001113,Association,Compte association,Actif,2026-01-27,FCFA,368751
237-01-967739640,CUST-0002680,Épargne,Épargne jeune,Actif,2021/02/28,FCFA,4216931
237-01-432462510,CUST-0005042,Association,Compte association,Actif,2020-10-09,FCFA,1002376
237-01-942609481,CUST-0001004,Professionnel,Crédit commercial,Actif,2021-05-27,FCFA,4557174
237-01-316448783,CUST-0004767,Professionnel,Compte professionnel,Actif,2020-01-05,FCFA,4848249
237-01-169709896,CUST-0003562,Professionnel,Crédit scolaire,Actif,18/04/2024,FCFA,1574752
237-01-620587140,CUST-0005655,Professionnel,Crédit commercial,Actif,2023-09-12,FCFA,2118331
237-01-197539996,CUST-0005642,Professionnel,Crédit scolaire,Actif,2021/04/26,XAF,2609680
237-01-266720780,CUST-0004413,Professionnel,Compte professionnel,Actif,2022-10-24,FCFA,4325196
237-01-624106365,CUST-0005859,Professionnel,Crédit scolaire,Actif,2019/08/23,FCFA,3916450
237-01-484679937,CUST-0005556,Tontine,Compte tontine,Actif,03/12/2019,XAF,2908993
237-01-367917620,CUST-0001188,Courant,Compte salaire,Actif,2019-06-14,XAF,2322514
237-01-145353631,CUST-0002575,Épargne,Épargne classique,Actif,2024-11-06,FCFA,4751655
237-01-855662374,CUST-0005493,Épargne,Épargne classique,Actif,2022-01-27,XAF,1380470
237-01-811410765,CUST-0004563,Professionnel,Crédit scolaire,Actif,2024-03-17,FCFA,3207064
237-01-823246052,CUST-0000092,Épargne,Épargne projet,Actif,2026-06-12,XAF,895648
237-01-106745457,CUST-0000375,Épargne,Épargne classique,Actif,2021-08-12,XAF,63294
237-01-528933992,CUST-0001133,Professionnel,Compte professionnel,Actif,2024-05-15,FCFA,651574
237-01-511342529,CUST-0004427,Courant,Compte salaire,Actif,2020-11-02,XAF,174303
237-01-109530466,CUST-0001898,Professionnel,Crédit commercial,Actif,2020-09-16,FCFA,3681370
237-01-202496893,CUST-0005362,Épargne,Épargne classique,Actif,2021-05-23,FCFA,2520074
237-01-517886164,CUST-0001064,Épargne,Épargne classique,Actif,2018-08-08,FCFA,4720702
237-01-503349237,CUST-0000778,Commerçant,Compte commerçant,Actif,2025-01-20,FCFA,1971997
237-01-860681016,CUST-0002314,Commerçant,Compte commerçant,Actif,2018-12-31,FCFA,3721298
237-01-845198367,CUST-0005882,Tontine,Compte tontine,Actif,2021/12/02,FCFA,4233263
237-01-623029961,CUST-0001387,Professionnel,Crédit commercial,Actif,2026-04-09,XAF,2033551
237-01-547044779,CUST-0003358,Commerçant,Compte commerçant,Actif,2021-05-22,FCFA,734584
237-01-151188614,CUST-0003331,Professionnel,Crédit commercial,Actif,2021/03/10,XAF,2251251
237-01-718521810,CUST-0002635,Professionnel,Crédit scolaire,Actif,2022-03-17,XAF,4687943
237-01-649790056,CUST-0005050,Épargne,Épargne classique,Actif,2019-03-06,XAF,4623603
237-01-623319011,CUST-0005908,Association,Compte association,Actif,2017-09-10,FCFA,3537032
237-01-132533599,CUST-0001246,Professionnel,Crédit scolaire,Actif,2025-05-11,XAF,4263136
237-01-704584024,CUST-0001018,Épargne,Épargne classique,Bloqué,2020-10-09,XAF,1289061
237-01-413789209,CUST-0003592,Professionnel,Crédit commercial,Bloqué,2021/03/02,FCFA,101567
237-01-988431654,CUST-0001086,Épargne,Épargne jeune,Actif,2023-01-25,XAF,2990436
237-01-563761897,CUST-0004277,Épargne,Épargne classique,Actif,2018/05/09,XAF,269511
237-01-733176318,CUST-0003163,Épargne,Épargne jeune,Actif,2023-07-03,FCFA,2906637
237-01-824831544,CUST-0000914,Professionnel,Crédit scolaire,Actif,20/10/2021,XAF,4819678
237-01-428814746,CUST-0004484,Épargne,Épargne classique,Actif,2019-03-20,XAF,1793734
237-01-708072047,CUST-0003695,Professionnel,Crédit scolaire,Actif,2022-12-04,FCFA,4294475
237-01-870106432,CUST-0003067,Courant,Compte courant,Actif,2017-02-10,XAF,4025475
237-01-208994816,CUST-0004655,Professionnel,Crédit commercial,Actif,2019-10-19,FCFA,3336597
237-01-558099119,CUST-0001437,Épargne,Épargne jeune,Actif,2020-09-03,XAF,1232309
237-01-892950176,CUST-0003126,Professionnel,Crédit scolaire,Actif,21/11/2024,XAF,3110923
237-01-551619242,CUST-0000938,Association,Compte association,Bloqué,2025-03-29,XAF,3504980
237-01-396090533,CUST-0000794,Association,Compte association,Actif,2024-02-24,FCFA,1140503
237-01-824113908,CUST-0004204,Tontine,Compte tontine,Actif,2025-05-26,XAF,1721097
237-01-288112370,CUST-0002917,Professionnel,Compte professionnel,Actif,2021-04-02,FCFA,4500302
237-01-280072167,CUST-0004376,Épargne,Épargne classique,Actif,2024-02-20,FCFA,2138805
237-01-770085145,CUST-0001521,Épargne,Épargne classique,Actif,2017-12-22,FCFA,3472712
237-01-489897462,CUST-0001054,Professionnel,Crédit commercial,Actif,2021/06/23,FCFA,778688
237-01-104466324,CUST-0003676,Commerçant,Compte commerçant,Actif,2024-03-17,XAF,3565065
237-01-496311264,CUST-0005234,Épargne,Épargne classique,Actif,2025-09-16,FCFA,1767839
237-01-372951542,CUST-0002149,Professionnel,Crédit scolaire,Actif,2023-11-20,XAF,4920671
237-01-177336438,CUST-0001278,Professionnel,Crédit commercial,Actif,10/02/2023,FCFA,1629941
237-01-700300699,CUST-0000270,Association,Compte association,Actif,2024-02-26,FCFA,607152
237-01-175372619,CUST-0003179,Professionnel,Crédit scolaire,Actif,2017-03-06,XAF,2894373
237-01-860631138,CUST-0002630,Association,Compte association,Actif,28/05/2017,XAF,459713
237-01-604218769,CUST-0001217,Épargne,Épargne projet,Actif,2022-08-21,XAF,2516913
237-01-192107312,CUST-0000306,Courant,Compte courant,Actif,2018-08-24,FCFA,4191713
237-01-415471730,CUST-0005327,Tontine,Compte tontine,Bloqué,2017-10-16,XAF,3082770
237-01-488821029,CUST-0001048,Courant,Compte salaire,Actif,2022-02-10,XAF,3472568
237-01-129684133,CUST-0002835,Courant,Compte courant,Actif,2020-04-14,FCFA,4847642
237-01-447246322,CUST-0001252,Courant,Compte courant,Actif,2020-06-08,FCFA,4497325
237-01-889607202,CUST-0003687,Épargne,Épargne projet,Actif,2017/01/20,XAF,4160684
237-01-361861727,CUST-0005476,Épargne,Épargne classique,Actif,2022/10/30,XAF,3737497
237-01-212232968,CUST-0001583,Professionnel,Compte professionnel,Actif,2020-07-05,XAF,2937469
237-01-781968925,CUST-0000909,Tontine,Compte tontine,Actif,2017-04-08,XAF,3242462
237-01-671114717,CUST-0001039,Épargne,Épargne jeune,Actif,2026-02-28,XAF,4156648
237-01-313064652,CUST-0005713,Épargne,Épargne jeune,Actif,2018-12-05,FCFA,410748
237-01-955027088,CUST-0000544,Courant,Compte salaire,Actif,2022-10-23,XAF,1672104
237-01-629986977,CUST-0005799,Professionnel,Crédit scolaire,Actif,2025-09-16,XAF,598770
237-01-140917513,CUST-0000990,Courant,Compte salaire,Actif,15/05/2017,XAF,2905759
237-01-379836785,CUST-0004837,Professionnel,Crédit scolaire,Actif,2024-11-24,FCFA,1837808
237-01-108866043,CUST-0001405,Épargne,Épargne jeune,Actif,2019-09-28,FCFA,3762330
237-01-933485254,CUST-0002059,Professionnel,Compte professionnel,Actif,2019-03-01,XAF,405622
237-01-631498673,CUST-0000693,Professionnel,Crédit scolaire,Actif,2020-01-24,XAF,4270941
237-01-644275677,CUST-0002327,Épargne,Épargne projet,Actif,2022-06-17,FCFA,3542756
237-01-984433383,CUST-0005099,Courant,Compte courant,Actif,2022-08-02,XAF,668303
237-01-284098671,CUST-0005916,Commerçant,Compte commerçant,Actif,2023/10/10,FCFA,3927494
237-01-854993549,CUST-0005460,Épargne,Épargne projet,Actif,2019/07/20,FCFA,2519097
237-01-479597880,CUST-0005135,Courant,Compte salaire,Actif,2020/02/13,FCFA,402636
237-01-170433330,CUST-0000703,Épargne,Épargne jeune,Dormant,2018-09-04,XAF,4963695
237-01-403200236,CUST-0006013,Commerçant,Compte commerçant,Actif,2020/04/30,XAF,1075426
237-01-977781695,CUST-0004042,Épargne,Épargne projet,Actif,2017-02-19,FCFA,4135103
237-01-458639342,CUST-0002904,Épargne,Épargne classique,Dormant,2023-11-03,FCFA,4185707
237-01-928479536,CUST-0005287,Professionnel,Crédit scolaire,Bloqué,03/11/2018,XAF,3131511
237-01-420047439,CUST-0003682,Association,Compte association,Actif,21/01/2020,FCFA,4262914
237-01-500455988,CUST-0000381,Tontine,Compte tontine,Actif,2021-09-07,FCFA,4766735
237-01-169461108,CUST-0002184,Commerçant,Compte commerçant,Actif,27/01/2023,XAF,1889457
237-01-276533989,CUST-0004179,Courant,Compte courant,Dormant,2025-11-27,FCFA,3182281
237-01-764844520,CUST-0001838,Professionnel,Crédit scolaire,Actif,2024-09-24,FCFA,926017
237-01-594675991,CUST-0004635,Association,Compte association,Actif,2019-05-02,XAF,922547
237-01-284965275,CUST-0000188,Épargne,Épargne classique,Actif,2019-09-22,FCFA,3118957
237-01-267176543,CUST-0001948,Tontine,Compte tontine,Actif,2025-09-13,FCFA,3543516
237-01-141152802,CUST-0006158,Épargne,Épargne projet,Actif,2024/05/29,XAF,1568788
237-01-424464529,CUST-0001653,Épargne,Épargne classique,Clôturé,2025-04-15,FCFA,3179658
237-01-307400591,CUST-0004938,Épargne,Épargne projet,Actif,2019-08-02,XAF,1484841
237-01-192125757,CUST-0000672,Professionnel,Crédit scolaire,Actif,27/07/2022,XAF,1830350
237-01-240146827,CUST-0004356,Commerçant,Compte commerçant,Actif,2020-07-15,XAF,628260
237-01-929943272,CUST-0000197,Professionnel,Crédit commercial,Actif,2024-03-02,FCFA,3702316
237-01-486408019,CUST-0002916,Épargne,Épargne projet,Actif,2022-02-14,FCFA,2241437
237-01-899131855,CUST-0005091,Courant,Compte courant,Actif,2017-05-28,XAF,792406
237-01-629054542,CUST-0000373,Professionnel,Crédit commercial,Actif,2021-01-08,FCFA,4370823
237-01-988960431,CUST-0000176,Épargne,Épargne projet,Actif,2023-10-05,FCFA,4274473
237-01-527148573,CUST-0005116,Épargne,Épargne jeune,Actif,2023-04-07,FCFA,2550089
237-01-809044082,CUST-0005467,Professionnel,Crédit scolaire,Actif,2020-04-09,XAF,4911171
237-01-631592717,CUST-0004076,Épargne,Épargne projet,Actif,2020-09-03,FCFA,1395527
237-01-995303027,CUST-0001317,Professionnel,Crédit commercial,Actif,2022/11/09,XAF,4129073
237-01-199339695,CUST-0000414,Tontine,Compte tontine,Actif,2019-10-26,XAF,642654
237-01-731247371,CUST-0003716,Professionnel,Compte professionnel,Actif,2025-02-24,FCFA,4740922
237-01-138761796,CUST-0005841,Épargne,Épargne jeune,Actif,2022-03-26,XAF,4743237
237-01-784645309,CUST-0001737,Tontine,Compte tontine,Actif,2017-03-20,XAF,3162292
237-01-132683865,CUST-0001890,Épargne,Épargne classique,Dormant,2022-10-08,XAF,4868387
237-01-480801541,CUST-0002005,Courant,Compte courant,Actif,2024-05-16,FCFA,3276937
237-01-582353202,CUST-0005290,Épargne,Épargne jeune,Actif,2021/02/17,FCFA,4321908
237-01-994543175,CUST-0003656,Association,Compte association,Actif,2023-09-07,XAF,4594168
237-01-488858501,CUST-0002390,Courant,Compte salaire,Actif,2020-02-18,XAF,4153459
237-01-216470794,CUST-0002034,Association,Compte association,Actif,2021-01-20,FCFA,4946030
237-01-753355293,CUST-0000020,Épargne,Épargne jeune,Actif,2017-03-06,FCFA,3150031
237-01-296029184,CUST-0002534,Commerçant,Compte commerçant,Actif,2023-02-06,FCFA,1229108
237-01-171172895,CUST-0003730,Courant,Compte courant,Actif,2024-07-16,XAF,1224775
237-01-314645821,CUST-0001254,Courant,Compte salaire,Actif,2023-10-09,FCFA,4418332
237-01-936927412,CUST-0001159,Professionnel,Crédit commercial,Actif,2025-01-31,FCFA,1708886
237-01-666970221,CUST-0002694,Épargne,Épargne jeune,Actif,2021-11-27,XAF,2304183
237-01-669142287,CUST-0002029,Professionnel,Crédit commercial,Actif,2021-06-26,FCFA,2158771
237-01-229366961,CUST-0003717,Commerçant,Compte commerçant,Actif,2025-08-28,FCFA,671641
237-01-827204533,CUST-0004590,Épargne,Épargne classique,Actif,2017-09-06,FCFA,1228924
237-01-265479546,CUST-0002622,Professionnel,Crédit commercial,Dormant,2024-04-03,XAF,2070208
237-01-738560651,CUST-0002672,Professionnel,Crédit commercial,Actif,05/03/2023,XAF,4496174
237-01-596191676,CUST-0000107,Tontine,Compte tontine,Dormant,25/11/2024,FCFA,1065232
237-01-965242408,CUST-0006101,Courant,Compte salaire,Actif,2023-07-02,FCFA,4282940
237-01-185553949,CUST-0001076,Professionnel,Crédit commercial,Actif,2022-03-23,FCFA,4198470
237-01-170054174,CUST-0004039,Épargne,Épargne projet,Actif,2020/05/15,XAF,2351718
237-01-328064379,CUST-0000946,Épargne,Épargne classique,Actif,2023-05-28,FCFA,1043702
237-01-782327608,CUST-0003943,Association,Compte association,Actif,2021-10-17,XAF,3735123
237-01-823585215,CUST-0003299,Tontine,Compte tontine,Actif,2019-02-05,XAF,4542086
237-01-980350288,CUST-0004962,Association,Compte association,Bloqué,2025-12-10,FCFA,1143477
237-01-556004670,CUST-0005725,Courant,Compte salaire,Actif,2024-04-19,XAF,4607961
237-01-589464652,CUST-0005491,Professionnel,Crédit commercial,Actif,2021-08-30,FCFA,1180936
237-01-395336329,CUST-0004655,Tontine,Compte tontine,Actif,2024-11-18,FCFA,4519786
237-01-529758677,CUST-0003047,Épargne,Épargne jeune,Actif,2023-09-25,FCFA,213808
237-01-460702194,CUST-0005142,Épargne,Épargne projet,Actif,2022/01/08,FCFA,1301096
237-01-812005011,CUST-0000729,Tontine,Compte tontine,Actif,2019/03/04,XAF,2048094
237-01-396741977,CUST-0005307,Épargne,Épargne classique,Actif,2021/11/01,XAF,4598749
237-01-917124168,CUST-0005813,Épargne,Épargne classique,Actif,2019-05-13,FCFA,4993401
237-01-411658009,CUST-0000292,Tontine,Compte tontine,Actif,2019-05-20,XAF,4246008
237-01-174715638,CUST-0000033,Épargne,Épargne jeune,Dormant,2017-07-25,FCFA,3523966
237-01-482684152,CUST-0002189,Courant,Compte salaire,Actif,06/06/2019,FCFA,3418386
237-01-954473578,CUST-0006029,Professionnel,Compte professionnel,Actif,2025-06-24,FCFA,427521
237-01-367049105,CUST-0002203,Courant,Compte salaire,Actif,2017-01-01,XAF,1683277
237-01-327529073,CUST-0002141,Professionnel,Compte professionnel,Actif,2021-03-16,FCFA,3147714
237-01-476588762,CUST-0003845,Professionnel,Compte professionnel,Actif,30/08/2022,XAF,4986272
237-01-798777721,CUST-0005629,Commerçant,Compte commerçant,Actif,2017-05-01,FCFA,3832241
237-01-331660900,CUST-0003143,Tontine,Compte tontine,Actif,2020-08-28,FCFA,1068071
237-01-624659064,CUST-0003679,Courant,Compte salaire,Actif,2024-03-02,XAF,1447900
237-01-412613634,CUST-0003730,Professionnel,Compte professionnel,Clôturé,2018-11-18,FCFA,2676299
237-01-503946209,CUST-0000252,Professionnel,Crédit commercial,Actif,2020-10-17,XAF,1267508
237-01-976945152,CUST-0004179,Professionnel,Compte professionnel,Actif,2025-11-03,FCFA,2776685
237-01-188253555,CUST-0001960,Professionnel,Crédit scolaire,Actif,2020-09-30,FCFA,4016189
237-01-726092485,CUST-0001624,Professionnel,Compte professionnel,Actif,2022/07/13,FCFA,4517250
237-01-919216247,CUST-0004276,Épargne,Épargne classique,Actif,2021-04-09,FCFA,1198232
237-01-952659839,CUST-0000663,Commerçant,Compte commerçant,Actif,2019-01-17,XAF,3086890
237-01-807807623,CUST-0006166,Professionnel,Crédit scolaire,Actif,2022-03-22,XAF,4476983
237-01-929177309,CUST-0000815,Tontine,Compte tontine,Actif,2019-03-11,XAF,2553713
237-01-327394921,CUST-0001593,Professionnel,Compte professionnel,Actif,2025-10-18,XAF,41762
237-01-540299438,CUST-0003243,Tontine,Compte tontine,Actif,2023-05-07,XAF,4861991
237-01-981088837,CUST-0003062,Commerçant,Compte commerçant,Actif,2023-10-19,FCFA,2830073
237-01-698448994,CUST-0005170,Épargne,Épargne classique,Dormant,2023-11-18,FCFA,4679663
237-01-466263788,CUST-0000541,Professionnel,Crédit scolaire,Actif,2018-06-05,FCFA,4059486
237-01-172326908,CUST-0000454,Commerçant,Compte commerçant,Actif,2026-04-25,XAF,4143254
237-01-954877856,CUST-0006103,Professionnel,Crédit scolaire,Actif,2017-06-22,XAF,822685
237-01-684443724,CUST-0003873,Épargne,Épargne classique,Actif,2023-07-06,FCFA,3501021
237-01-598747037,CUST-0002590,Courant,Compte salaire,Actif,2025/04/14,FCFA,834858
237-01-578126746,CUST-0000940,Professionnel,Crédit commercial,Actif,2020/08/01,FCFA,4524139
237-01-176176700,CUST-0003125,Tontine,Compte tontine,Actif,2017/01/08,FCFA,2301157
237-01-252018064,CUST-0005991,Épargne,Épargne jeune,Actif,06/08/2017,FCFA,1085338
237-01-562648209,CUST-0000555,Épargne,Épargne jeune,Actif,2018-07-14,XAF,138761
237-01-962739932,CUST-0003435,Épargne,Épargne jeune,Actif,2019-06-28,XAF,2786656
237-01-280918513,CUST-0005983,Association,Compte association,Actif,2025-09-13,FCFA,4442527
237-01-306476926,CUST-0004890,Commerçant,Compte commerçant,Actif,2024-10-07,XAF,4382543
237-01-645012519,CUST-0003765,Professionnel,Crédit scolaire,Actif,2018-03-08,FCFA,1647742
237-01-628044209,CUST-0005474,Épargne,Épargne classique,Dormant,2019-10-02,XAF,4619384
237-01-264792866,CUST-0000562,Courant,Compte courant,Actif,2018-09-17,FCFA,2236372
237-01-231204234,CUST-0003093,Professionnel,Crédit commercial,Actif,2024-10-22,FCFA,4920643
237-01-950813163,CUST-0003179,Tontine,Compte tontine,Actif,18/09/2025,FCFA,4528760
237-01-841221976,CUST-0004485,Commerçant,Compte commerçant,Actif,2019-03-23,FCFA,1345172
237-01-130882428,CUST-0000820,Tontine,Compte tontine,Clôturé,2021-08-13,XAF,4898818
237-01-148169474,CUST-0005734,Épargne,Épargne projet,Actif,2025-01-08,XAF,4313635
237-01-477894111,CUST-0003072,Professionnel,Compte professionnel,Actif,2022-11-27,XAF,1710687
237-01-155595127,CUST-0002959,Commerçant,Compte commerçant,Actif,2021-09-20,FCFA,3563326
237-01-357285403,CUST-0003312,Commerçant,Compte commerçant,Actif,2019/04/17,FCFA,4611199
237-01-836383495,CUST-0001415,Professionnel,Crédit scolaire,Actif,2023-01-02,XAF,3070379
237-01-525363004,CUST-0002967,Professionnel,Crédit scolaire,Actif,2019-08-22,XAF,3542790
237-01-615532600,CUST-0004016,Professionnel,Compte professionnel,Actif,2022/05/23,XAF,4084783
237-01-473646205,CUST-0003405,Épargne,Épargne jeune,Bloqué,2022-01-02,XAF,554703
237-01-643145597,CUST-0001461,Épargne,Épargne classique,Actif,2021/10/26,XAF,3067540
237-01-937268783,CUST-0005157,Courant,Compte courant,Actif,2025-12-21,FCFA,1499180
237-01-568377183,CUST-0004011,Professionnel,Crédit scolaire,Actif,2018-08-25,XAF,494647
237-01-286329944,CUST-0004235,Professionnel,Compte professionnel,Actif,2023/08/25,XAF,3775604
